,City Name,Cloudiness (%),Country,Humidity,Lat,Lon,Tempature (F),Wind (mph)
421,Kodiak,1,US,92,39.95,-94.76,21.2,4.1
422,Barrow,0,AR,72,-38.31,-60.23,53.42,2.85
423,Ilulissat,64,GL,52,69.22,-51.1,15.8,6.7
424,Qaanaaq,0,GL,87,77.48,-69.36,-10.533999999999999,4.0
425,Porto Novo,75,BR,94,-23.68,-45.44,68.0,1.15
426,Edd,0,ER,25,13.93,41.69,84.74000000000001,3.85
427,New Norfolk,75,AU,49,-42.78,147.06,68.0,5.1
428,Kualakapuas,40,ID,66,-3.01,114.39,87.80000000000001,6.2
429,Ushuaia,75,AR,80,-54.81,-68.31,41.0,4.6
430,Yellowknife,20,CA,67,62.45,-114.38,-27.4,2.1
431,Ribeira Grande,20,PT,82,38.52,-28.7,62.6,3.6
432,Cabo San Lucas,20,MX,63,22.89,-109.91,60.8,7.7
433,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
434,Hobart,75,AU,49,-42.88,147.33,68.0,5.1
435,Nhulunbuy,75,AU,62,-12.18,136.78,87.80000000000001,4.1
436,Avarua,20,CK,73,-21.21,-159.78,75.2,6.7
437,La Tuque,80,CA,87,47.44,-72.79,5.971999999999998,1.67
438,Vaini,20,IN,34,15.34,74.49,86.18,2.95
439,Victoria,75,BN,94,5.28,115.24,77.0,1.5
440,Bandarbeyla,0,SO,97,9.49,50.81,77.936,12.7
441,Puerto Ayora,24,EC,100,-0.74,-90.35,69.656,5.1
442,Ushuaia,75,AR,80,-54.81,-68.31,41.0,4.6
443,Port Hedland,0,AU,59,-20.31,118.58,91.4,7.7
444,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
445,Hobart,75,AU,49,-42.88,147.33,68.0,5.1
446,Belmonte,0,PT,75,40.36,-7.35,35.69,2.82
447,Bluff,76,AU,42,-23.58,149.07,87.836,3.92
448,Conde,100,BR,90,-11.81,-37.61,77.27,3.77
449,Kapaa,90,US,88,22.08,-159.32,65.372,6.2
450,Grindavik,75,IS,86,63.84,-22.43,37.4,9.3
451,Lebu,0,ET,38,8.96,38.73,62.635999999999996,1.85
452,Vaini,20,IN,34,15.34,74.49,86.18,2.95
453,Cabo San Lucas,20,MX,63,22.89,-109.91,60.8,7.7
454,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
455,Tramandai,8,BR,89,-29.98,-50.13,71.366,2.15
456,Sola,90,FI,100,62.78,29.36,23.0,5.1
457,Tommot,48,RU,60,58.97,126.27,-8.193999999999996,2.65
458,Hobart,75,AU,49,-42.88,147.33,68.0,5.1
459,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
460,Garh Maharaja,0,PK,88,30.83,71.9,67.766,2.02
461,Punta Arenas,90,CL,70,-53.16,-70.91,42.8,6.2
462,Totness,75,US,93,33.74,-80.8,49.1,2.1
463,Taywarah,48,AF,36,33.35,64.42,47.03,1.3
464,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
465,Moba,36,CD,84,-7.04,29.77,75.65,2.65
466,Barrow,0,AR,72,-38.31,-60.23,53.42,2.85
467,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
468,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
469,Tasiilaq,88,GL,67,65.61,-37.64,23.0,2.1
470,Iquique,0,CL,59,-20.22,-70.14,66.2,1.0
471,Yellowknife,20,CA,67,62.45,-114.38,-27.4,2.1
472,Jamestown,12,AU,17,-33.21,138.6,89.33000000000001,3.75
473,Punta Arenas,90,CL,70,-53.16,-70.91,42.8,6.2
474,Port Augusta,0,AU,45,-32.49,137.76,86.0,7.2
475,Los Llanos de Aridane,75,ES,63,28.66,-17.92,64.4,0.5
476,Jamestown,12,AU,17,-33.21,138.6,89.33000000000001,3.75
477,Havre-Saint-Pierre,20,CA,64,50.23,-63.6,-2.200000000000003,4.1
478,Eyl,0,SO,72,7.98,49.82,82.13,11.6
479,Puerto Ayora,24,EC,100,-0.74,-90.35,69.656,5.1
480,Shenjiamen,64,CN,82,29.96,122.3,60.26,5.9
481,Noumea,0,NC,69,-22.28,166.46,75.2,3.1
482,Grand Gaube,75,MU,62,-20.01,57.66,86.0,5.1
483,Mikkeli,90,FI,92,61.69,27.27,26.6,3.1
484,Hobart,75,AU,49,-42.88,147.33,68.0,5.1
485,Fare,76,PF,98,-16.7,-151.02,83.066,5.95
486,Mar del Plata,0,AR,69,-46.43,-67.52,45.32,6.35
487,Pirgos,90,GR,87,35.12,25.72,50.0,8.2
488,Valer,0,ES,67,41.76,-6.18,26.042,1.52
489,Zhigansk,48,RU,0,66.77,123.37,-40.86399999999999,1.47
490,Pevek,88,RU,99,69.7,170.27,-9.094000000000001,7.57
491,New Norfolk,75,AU,49,-42.78,147.06,68.0,5.1
492,Northam,75,GB,93,51.04,-4.21,47.444,2.6
493,Port Elizabeth,90,US,100,39.31,-74.98,46.094,1.57
494,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
495,Luderitz,0,NA,53,-26.65,15.16,73.4,8.2
496,Kodiak,1,US,92,39.95,-94.76,21.2,4.1
497,Uthal,0,PK,42,25.81,66.62,78.08000000000001,2.02
498,Torbay,75,CA,85,47.66,-52.73,23.936,7.2
499,Hilo,75,US,64,19.71,-155.08,58.424,6.7
500,Provideniya,92,RU,90,64.42,-173.23,34.34,12.35
501,Klaksvik,92,FO,100,62.23,-6.59,39.2,2.6
502,Vestmannaeyjar,92,IS,89,63.44,-20.27,39.74,9.45
503,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
504,Zhigansk,48,RU,0,66.77,123.37,-40.86399999999999,1.47
505,Lamar,1,US,66,38.09,-102.62,15.8,2.42
506,Kruisfontein,44,ZA,81,-34.0,24.73,66.23599999999999,6.87
507,Hobart,75,AU,49,-42.88,147.33,68.0,5.1
508,Atar,8,MR,29,20.52,-13.05,56.336,6.92
509,Albany,90,US,86,42.65,-73.75,29.372,1.5
510,Bluff,76,AU,42,-23.58,149.07,87.836,3.92
511,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
512,Hobart,75,AU,49,-42.88,147.33,68.0,5.1
513,Suihua,64,CN,70,46.64,126.99,6.692,3.4
514,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
515,Georgetown,40,GY,100,6.8,-58.16,71.6,1.0
516,Namibe,48,AO,100,-15.19,12.15,70.25,4.2
517,Fairbanks,1,US,83,64.84,-147.72,-2.254000000000005,2.2
518,Ixtapa,5,MX,100,20.71,-105.21,68.0,1.12
519,Albany,90,US,86,42.65,-73.75,29.372,1.5
520,Mosquera,40,CO,93,4.71,-74.23,50.0,1.5
521,Mangrol,92,IN,47,25.33,76.51,73.85,2.2
522,Nanortalik,68,GL,95,60.14,-45.24,30.506,5.97
523,Barrow,0,AR,72,-38.31,-60.23,53.42,2.85
524,Safranbolu,75,TR,93,41.25,32.69,39.2,2.1
525,Ushuaia,75,AR,80,-54.81,-68.31,41.0,4.6
526,Nara,75,JP,57,34.68,135.8,49.55,2.1
527,Berdigestyakh,44,RU,0,62.1,126.7,-42.897999999999996,1.4
528,Yar-Sale,80,RU,95,66.83,70.83,19.472,4.42
529,Ancud,0,CL,84,-41.87,-73.83,36.32,1.25
530,Mataura,24,NZ,53,-46.19,168.86,65.03,2.72
531,Atuona,0,PF,100,-9.8,-139.03,79.73599999999999,4.37
532,Saint-Philippe,90,CA,85,45.36,-73.48,14.018,5.1
533,Sao Geraldo do Araguaia,76,BR,99,-6.4,-48.55,70.286,1.7
534,Port Alfred,0,ZA,84,-33.59,26.89,72.356,6.17
535,Kodiak,1,US,92,39.95,-94.76,21.2,4.1
536,Hobart,75,AU,49,-42.88,147.33,68.0,5.1
537,Port Alfred,0,ZA,84,-33.59,26.89,72.356,6.17
538,Pinega,88,RU,89,64.7,43.39,23.612000000000002,2.02
539,Guerrero Negro,0,MX,100,27.97,-114.04,40.856,2.7
540,Canora,90,CA,85,51.64,-102.43,15.8,7.2
541,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
542,Busselton,44,AU,75,-33.64,115.35,77.36,6.75
543,Albany,90,US,86,42.65,-73.75,29.372,1.5
544,Zelenoborsk,88,RU,84,61.47,64.05,18.302,3.32
545,Metro,80,ID,100,-5.11,105.31,77.72,3.52
546,Ngunguru,88,NZ,100,-35.62,174.5,67.46000000000001,6.75
547,Omboue,92,GA,100,-1.57,9.26,80.42,1.85
548,Rikitea,68,PF,100,-23.12,-134.97,76.136,3.75
549,Saint George,20,GR,64,39.45,22.34,39.2,4.6
